0,warmup_start,1745945017.9531338
0,warmup_end,1745945035.35677
0,rank_assignment_start,1745945035.3569129
0,rank_assignment_end,1745945035.3928802
0,training_start,1745945035.4187071
0,training_end,1745945399.8038967
1,warmup_start,1745945401.1496015
1,warmup_end,1745945417.462816
1,rank_assignment_start,1745945417.4629524
1,rank_assignment_end,1745945417.474192
1,training_start,1745945417.5011146
1,training_end,1745945784.4418693
2,warmup_start,1745945785.679755
2,warmup_end,1745945802.2036328
2,rank_assignment_start,1745945802.203752
2,rank_assignment_end,1745945802.215219
2,training_start,1745945802.2417548
2,training_end,1745946173.8940377
3,warmup_start,1745946175.18624
3,warmup_end,1745946191.6080658
3,rank_assignment_start,1745946191.6081874
3,rank_assignment_end,1745946191.6183696
3,training_start,1745946191.6442182
3,training_end,1745946561.7803223
4,warmup_start,1745946563.0714567
4,warmup_end,1745946579.530029
4,rank_assignment_start,1745946579.5301638
4,rank_assignment_end,1745946579.5412915
4,training_start,1745946579.5669062
4,training_end,1745946949.9707994
5,warmup_start,1745946951.2628176
5,warmup_end,1745946967.9461925
5,rank_assignment_start,1745946967.9463112
5,rank_assignment_end,1745946967.9571352
5,training_start,1745946967.9829292
5,training_end,1745947340.089777
