timestamp,gpu_util_percent,memory_used_MB
1745893928,0,0
1745893929,0,0
1745893930,0,0
1745893931,0,5
1745893932,0,5
1745893933,8,811
1745893934,5,1239
1745893935,31,1239
1745893936,32,1239
1745893937,32,1239
1745893938,32,1239
1745893939,32,1239
1745893940,33,1239
1745893941,32,1239
1745893942,31,1239
1745893943,32,1239
1745893944,32,1239
1745893945,32,1239
1745893946,32,1239
1745893947,32,1239
1745893948,33,1239
1745893949,0,1241
1745893950,35,1243
1745893951,36,1243
1745893952,34,1243
1745893953,34,1243
1745893954,34,1243
1745893955,35,1243
1745893956,34,1243
1745893957,34,1243
1745893958,32,1243
1745893959,36,1243
1745893960,35,1243
1745893961,35,1243
1745893962,35,1243
1745893963,35,1243
1745893964,35,1243
1745893966,35,1243
1745893967,35,1243
1745893968,35,1243
1745893969,35,1243
1745893970,35,1243
1745893971,36,1243
1745893972,36,1243
1745893973,35,1243
1745893974,35,1243
1745893975,35,1243
1745893976,35,1243
1745893977,34,1243
1745893978,36,1243
1745893979,35,1243
1745893980,35,1243
1745893981,36,1243
1745893982,34,1243
1745893983,36,1243
1745893984,35,1243
1745893985,34,1243
1745893986,34,1243
1745893987,32,1243
1745893988,34,1243
1745893989,35,1243
1745893990,35,1243
1745893991,35,1243
1745893992,35,1243
1745893993,35,1243
1745893994,35,1243
1745893995,36,1243
1745893996,35,1243
1745893997,36,1243
1745893998,35,1243
1745893999,34,1243
1745894000,35,1243
1745894001,35,1243
1745894002,35,1243
1745894003,35,1243
1745894004,34,1243
1745894005,35,1243
1745894006,35,1243
1745894007,35,1243
1745894008,35,1243
1745894009,36,1243
1745894010,34,1243
1745894011,35,1243
1745894012,34,1243
1745894013,36,1243
1745894014,35,1243
1745894015,35,1243
1745894016,36,1243
1745894017,35,1243
1745894018,36,1243
1745894020,36,1243
1745894021,35,1243
1745894022,34,1243
1745894023,33,1243
1745894024,36,1243
1745894025,34,1243
1745894026,36,1243
1745894027,36,1243
1745894028,36,1243
1745894029,35,1243
1745894030,34,1243
1745894031,33,1243
1745894032,34,1243
1745894033,34,1243
1745894034,32,1243
1745894035,34,1243
1745894036,32,1243
1745894037,34,1243
1745894038,36,1243
1745894039,35,1243
1745894040,34,1243
1745894041,36,1243
1745894042,35,1243
1745894043,35,1243
1745894044,35,1243
1745894045,34,1243
1745894046,36,1243
1745894047,34,1243
1745894048,34,1243
1745894049,33,1243
1745894050,35,1243
1745894051,35,1243
1745894052,35,1243
1745894053,35,1243
1745894054,35,1243
1745894055,35,1243
1745894056,35,1243
1745894057,35,1243
1745894058,35,1243
1745894059,33,1243
1745894060,30,1285
1745894061,33,1285
1745894062,35,1285
1745894063,35,1285
1745894064,35,1285
1745894065,34,1285
1745894066,35,1285
1745894067,34,1285
1745894068,33,1285
1745894069,35,1285
1745894070,35,1285
1745894072,35,1285
1745894073,35,1285
1745894074,35,1285
1745894075,35,1285
1745894076,36,1285
1745894077,35,1285
1745894078,36,1285
1745894079,35,1285
1745894080,36,1285
1745894081,35,1285
1745894082,36,1285
1745894083,36,1285
1745894084,34,1285
1745894085,35,1285
1745894086,35,1285
1745894087,33,1285
1745894088,34,1285
1745894089,33,1285
1745894090,34,1285
1745894091,33,1285
1745894092,33,1285
1745894093,36,1285
1745894094,34,1285
1745894095,34,1285
1745894096,35,1285
1745894097,32,1285
1745894098,30,1285
1745894099,31,1285
1745894100,32,1285
1745894101,32,1285
1745894102,32,1285
1745894103,31,1285
1745894104,34,1285
1745894105,34,1285
1745894106,32,1285
1745894107,32,1285
1745894108,32,1285
1745894109,35,1285
1745894110,34,1285
1745894111,35,1285
1745894112,35,1285
1745894113,33,1285
1745894114,32,1285
1745894115,33,1285
1745894116,34,1285
1745894117,35,1285
1745894118,35,1285
1745894119,33,1285
1745894120,34,1285
1745894121,35,1285
1745894122,35,1285
1745894123,35,1285
1745894125,35,1285
1745894126,32,1285
1745894127,34,1285
1745894128,35,1285
1745894129,35,1285
1745894130,35,1285
1745894131,35,1285
1745894132,34,1285
1745894133,35,1285
1745894134,35,1285
1745894135,35,1285
1745894136,35,1285
1745894137,34,1285
1745894138,34,1285
1745894139,34,1285
1745894140,35,1285
1745894141,36,1285
1745894142,35,1285
1745894143,35,1285
1745894144,34,1285
1745894145,34,1285
1745894146,34,1285
1745894147,34,1285
1745894148,32,1285
1745894149,32,1285
1745894150,35,1285
1745894151,35,1285
1745894152,35,1285
1745894153,34,1285
1745894154,34,1285
1745894155,35,1285
1745894156,34,1285
1745894157,34,1285
1745894158,35,1285
1745894159,34,1285
1745894160,35,1285
1745894161,34,1285
1745894162,32,1285
1745894163,35,1285
1745894164,34,1285
1745894165,34,1285
1745894166,34,1285
1745894167,34,1285
1745894168,34,1285
1745894169,34,1285
1745894170,35,1285
1745894171,34,1285
1745894172,34,1285
1745894173,35,1285
1745894174,32,1285
1745894175,36,1285
1745894176,35,1285
1745894178,35,1285
1745894179,35,1285
1745894180,35,1285
1745894181,35,1285
1745894182,33,1285
1745894183,34,1285
1745894184,34,1285
1745894185,34,1285
1745894186,34,1285
1745894187,34,1285
1745894188,35,1285
1745894189,35,1285
1745894190,36,1285
1745894191,35,1285
1745894192,35,1285
1745894193,35,1285
1745894194,35,1285
1745894195,35,1285
1745894196,34,1285
1745894197,35,1285
1745894198,35,1285
1745894199,35,1285
1745894200,36,1285
1745894201,35,1285
1745894202,35,1285
1745894203,34,1285
1745894204,34,1285
1745894205,36,1285
1745894206,34,1285
1745894207,33,1285
1745894208,35,1285
1745894209,35,1285
1745894210,35,1285
1745894211,34,1285
1745894212,33,1285
1745894213,34,1285
1745894214,35,1285
1745894215,34,1285
1745894216,35,1285
1745894217,33,1285
1745894218,32,1285
1745894219,33,1285
1745894220,35,1285
1745894221,34,1285
1745894222,33,1285
1745894223,34,1285
1745894224,35,1285
1745894225,35,1285
1745894226,35,1285
1745894227,36,1285
1745894228,33,1285
1745894230,33,1285
1745894231,34,1285
1745894232,34,1285
1745894233,34,1285
1745894234,34,1285
1745894235,34,1285
1745894236,34,1285
1745894237,34,1285
1745894238,36,1285
1745894239,36,1285
1745894240,35,1285
1745894241,33,1285
1745894242,33,1285
1745894243,34,1285
1745894244,35,1285
1745894245,35,1285
1745894246,36,1285
1745894247,35,1285
1745894248,35,1285
1745894249,35,1285
1745894250,35,1285
1745894251,35,1285
1745894252,34,1285
1745894253,34,1285
1745894254,34,1285
1745894255,35,1285
1745894256,33,1285
1745894257,35,1285
1745894258,35,1285
1745894259,35,1285
1745894260,35,1285
1745894261,35,1285
1745894262,34,1285
1745894263,33,1285
1745894264,34,1285
1745894265,36,1285
1745894266,34,1285
1745894267,35,1285
1745894268,34,1285
1745894269,35,1285
1745894270,34,1285
1745894271,35,1285
1745894272,34,1285
1745894273,35,1285
1745894274,34,1285
1745894275,35,1285
1745894276,35,1285
1745894277,33,1285
1745894278,35,1285
1745894279,34,1285
1745894280,35,1285
1745894281,35,1285
1745894282,35,1285
1745894284,34,1285
1745894285,34,1285
1745894286,35,1285
1745894287,30,1285
1745894288,16,1285
1745894289,19,1499
1745894290,32,1499
1745894291,32,1499
1745894292,32,1499
1745894293,32,1499
1745894294,32,1499
1745894295,32,1499
1745894296,32,1499
1745894297,32,1499
1745894298,31,1499
1745894299,31,1499
1745894300,32,1499
1745894301,32,1499
1745894302,31,1499
1745894303,32,1499
1745894304,26,1241
1745894305,34,1241
1745894306,35,1241
1745894307,33,1241
1745894308,35,1241
1745894309,34,1241
1745894310,33,1241
1745894311,34,1241
1745894312,34,1241
1745894313,34,1241
1745894314,33,1241
1745894315,34,1241
1745894316,32,1241
1745894317,36,1241
1745894318,35,1241
1745894319,35,1241
1745894320,35,1241
1745894321,34,1241
1745894322,33,1243
1745894323,35,1243
1745894324,34,1243
1745894325,35,1243
1745894326,33,1243
1745894327,35,1243
1745894328,34,1243
1745894329,35,1243
1745894330,35,1243
1745894331,34,1243
1745894332,33,1243
1745894333,33,1243
1745894334,35,1243
1745894335,34,1243
1745894337,34,1243
1745894338,34,1243
1745894339,35,1243
1745894340,35,1243
1745894341,34,1243
1745894342,34,1243
1745894343,35,1243
1745894344,35,1243
1745894345,34,1243
1745894346,35,1243
1745894347,35,1243
1745894348,34,1243
1745894349,35,1243
1745894350,35,1243
1745894351,33,1243
1745894352,35,1243
1745894353,34,1243
1745894354,34,1243
1745894355,35,1243
1745894356,35,1243
1745894357,33,1243
1745894358,35,1243
1745894359,35,1243
1745894360,35,1243
1745894361,34,1243
1745894362,34,1243
1745894363,34,1243
1745894364,33,1243
1745894365,34,1243
1745894366,34,1243
1745894367,34,1243
1745894368,33,1243
1745894369,35,1243
1745894370,34,1243
1745894371,34,1243
1745894372,34,1243
1745894373,34,1243
1745894374,35,1243
1745894375,34,1243
1745894376,34,1243
1745894377,32,1243
1745894378,33,1243
1745894379,34,1243
