0,warmup_start,1745893932.8268468
0,warmup_end,1745893949.2718058
0,rank_assignment_start,1745893949.2719154
0,rank_assignment_end,1745893949.304559
0,training_start,1745893949.3300073
0,training_end,1745894287.376267
1,warmup_start,1745894288.6523888
1,warmup_end,1745894303.9219553
1,rank_assignment_start,1745894303.9220297
1,rank_assignment_end,1745894303.9325147
1,training_start,1745894303.9574583
1,training_end,1745894645.3516772
2,warmup_start,1745894646.5658815
2,warmup_end,1745894661.8165767
2,rank_assignment_start,1745894661.8167155
2,rank_assignment_end,1745894661.827058
2,training_start,1745894661.8520224
2,training_end,1745895000.8460872
3,warmup_start,1745895002.1258957
3,warmup_end,1745895017.6706362
3,rank_assignment_start,1745895017.6707125
3,rank_assignment_end,1745895017.6810517
3,training_start,1745895017.706724
3,training_end,1745895364.622721
4,warmup_start,1745895365.845398
4,warmup_end,1745895381.5368865
4,rank_assignment_start,1745895381.5369837
4,rank_assignment_end,1745895381.547661
4,training_start,1745895381.5732687
4,training_end,1745895730.2660127
5,warmup_start,1745895731.488856
5,warmup_end,1745895746.927565
5,rank_assignment_start,1745895746.927683
5,rank_assignment_end,1745895746.9378147
5,training_start,1745895746.9627435
5,training_end,1745896093.7758238
